transaction_id,date,description_raw,description_clean,amount,gst_rate,cgst_amount,sgst_amount,igst_amount,vendor_name,vendor_gstin,document_type,category,category_key,itc_eligible,itc_blocked_reason,source
TXN000052,2026-01-05,"Sampath, Kakar and Zacharia - printed labels supply","Sampath, Kakar and Zacharia - printed labels supply",43500.93,18,3915.09,3915.09,0.0,"Sampath, Kakar and Zacharia",23YZHZR4398D4ZY,invoice,Purchase of Goods (Raw Material/Trading Stock),purchase_goods,Eligible,,synthetic
TXN001514,2025-09-17,"OFFICE FESTIVAL SWEETS ORDER ORDER - PALAN, RAMESH AND GHOSH","Office festival sweets order order - Palan, Ramesh and Ghosh",14225.71,5,355.64,355.64,0.0,"Palan, Ramesh and Ghosh",32ZGFXK3135M6ZI,receipt,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN001236,2026-09-16,Taneja and Sons - vehicle registration fee,Taneja and Sons - vehicle registration fee,6874.01,28,962.36,962.36,0.0,Taneja and Sons,,bank_statement_line,Motor Vehicle Expenses,motor_vehicle,Blocked,"Sec 17(5)(a) blocks ITC on motor vehicles for transport of persons (seating <=13) and related services, unless used for further supply, passenger transport, or driving training.",synthetic
TXN001487,2026-04-14,"Catering pymt - Chhabra, Bora and Thakur","Catering payment - Chhabra, Bora and Thakur",16002.91,5,400.07,400.07,0.0,"Chhabra, Bora and Thakur",36UYLKG9742V6Z7,invoice,Food & Beverages/Outdoor Catering,food_catering,Blocked,"Sec 17(5)(b)(i) explicitly blocks ITC on food and beverages and outdoor catering, unless used to make an outward taxable supply of the same category or as part of a composite/mixed supply.",synthetic
TXN002404,2026-04-14,Mane Ltd - Sales invc,Mane Ltd - Sales Invoice,343605.61,18,30924.51,30924.51,0.0,Mane Ltd,,bank_statement_line,Sales/Outward Supply,sales_revenue,Not Applicable,,synthetic
TXN000301,2026-08-06,"commercial printer installation invoice from Doshi, Tandon and Bansal","commercial printer installation invoice from Doshi, Tandon and Bansal",779635.55,18,70167.2,70167.2,0.0,"Doshi, Tandon and Bansal",07VPULU5260W8ZH,receipt,Capital Goods,capital_goods,Eligible,,synthetic
TXN002021,2024-09-14,EMPLOYEE  GROUP HEALTH INSURANCE PREMIUM PAYMENT - DARA-DEVAN,employee group health insurance premium payment - Dara-Devan,67371.39,18,6063.43,6063.43,0.0,Dara-Devan,32QUTKG4842F9ZM,receipt,Employee Insurance/Reimbursements,employee_insurance,Blocked,Sec 17(5)(b) blocks ITC on health/life insurance for employees unless it is obligatory for the employer under any law for the time being in force.,synthetic
TXN001863,2026-10-07,employee leave travel airfare - chadha group,employee leave travel airfare - Chadha Group,50288.2,5,0.0,0.0,2514.41,Chadha Group,,bank_statement_line,Employee Travel Benefits,employee_travel,Blocked,"Sec 17(5)(b)(iii) blocks ITC on travel benefits extended to employees (e.g. leave/home travel concession), unless obligatory under law.",synthetic
TXN001140,2024-10-23,Mukhopadhyay-Mand  - Bank Charges,Mukhopadhyay-Mand - Bank Charges,4484.81,18,403.63,403.63,0.0,Mukhopadhyay-Mand,36XNKRE6772L1Z7,receipt,Bank Charges/Financial Services,bank_charges,Eligible,,synthetic
TXN000635,2025-09-14,Doshi-Sachar - Shop Rent paymnt,Doshi-Sachar - Shop Rent Payment,39767.53,18,3579.08,3579.08,0.0,Doshi-Sachar,,bank_statement_line,Rent/Lease of Business Premises,rent,Eligible,,synthetic
