transaction_id,category_key,amount,gst_rate,itc_eligible,claimed_itc,itc_claimed_but_blocked,late_filing_days,has_valid_gstin,is_round_number_amount,tax_amount,estimated_penalty_exposure,risk_level
RISK000001,employee_insurance,22710.55,18,Blocked,False,False,0,True,False,4087.9,0.0,Low
RISK000002,works_contract,178489.82,18,Blocked,True,True,0,True,False,32128.17,10000.0,Medium
RISK000003,club_membership,120602.74,18,Blocked,True,True,90,True,False,21708.49,15463.5,High
RISK000004,employee_travel,55999.05,5,Blocked,False,False,21,True,False,2799.95,1079.0,Low
RISK000005,input_services,43455.1,18,Eligible,False,False,0,True,False,7821.92,0.0,Low
RISK000006,bank_charges,120943.34,18,Eligible,False,False,69,True,False,21769.8,4190.77,Medium
RISK000007,capital_goods,110632.11,18,Eligible,False,False,111,True,False,19913.78,6640.07,Medium
RISK000008,capital_goods,9641.96,18,Eligible,True,False,0,True,False,1735.55,0.0,Low
RISK000009,capital_goods,76335.18,18,Eligible,True,False,21,True,False,13740.33,1192.3,Low
RISK000010,utilities,140513.15,18,Eligible,True,False,0,True,False,25292.37,0.0,Low
RISK000011,rent,33098.8,18,Eligible,True,False,82,True,False,5957.78,4340.92,Medium
RISK000012,bank_charges,168648.96,18,Eligible,False,False,0,True,False,30356.81,0.0,Low
RISK000013,utilities,13704.63,18,Eligible,False,False,92,True,False,2466.83,4711.92,Medium
RISK000014,motor_vehicle,176994.29,28,Blocked,True,True,0,True,False,49558.4,10000.0,Medium
RISK000015,club_membership,52916.95,18,Blocked,True,True,52,True,False,9525.05,12844.26,Medium
RISK000016,input_services,102150.5,18,Eligible,True,False,0,True,False,18387.09,0.0,Low
RISK000017,sales_revenue,136256.0,18,Not Applicable,True,False,0,True,False,24526.08,0.0,Low
RISK000018,utilities,194230.14,18,Eligible,False,False,0,True,False,34961.43,0.0,Low
RISK000019,club_membership,150300.12,18,Blocked,False,False,0,True,False,27054.02,0.0,Low
RISK000020,purchase_goods,190786.28,18,Eligible,False,False,0,True,False,34341.53,0.0,Low
RISK000021,capital_goods,174168.45,18,Eligible,True,False,78,True,False,31350.32,5105.91,Medium
RISK000022,input_services,108106.12,18,Eligible,False,False,0,True,False,19459.1,0.0,Low
RISK000023,purchase_goods,23000,18,Eligible,True,False,104,True,True,4140.0,5412.33,Medium
RISK000024,employee_travel,189416.41,5,Blocked,True,True,0,True,False,9470.82,10000.0,Medium
RISK000025,sales_revenue,25589.22,18,Not Applicable,True,False,22,True,False,4606.06,1149.97,Low
RISK000026,motor_vehicle,192890.4,28,Blocked,False,False,89,True,False,54009.31,6820.49,Medium
RISK000027,employee_insurance,130150.67,18,Blocked,True,True,0,True,False,23427.12,10000.0,Medium
RISK000028,bank_charges,4696.33,18,Eligible,True,False,1,True,False,845.34,50.42,Low
RISK000029,rent,13946.37,18,Eligible,True,False,0,True,False,2510.35,0.0,Low
RISK000030,food_catering,43240.24,5,Blocked,True,True,74,True,False,2162.01,13778.9,Medium
RISK000031,food_catering,161595.65,5,Blocked,True,True,0,True,False,8079.78,10000.0,Medium
RISK000032,food_catering,172835.43,5,Blocked,True,True,83,True,False,8641.77,14503.72,Medium
RISK000033,bank_charges,160218.21,18,Eligible,True,False,0,True,False,28839.28,0.0,Low
RISK000034,input_services,56069.76,18,Eligible,True,False,57,True,False,10092.56,3133.7,Medium
RISK000035,capital_goods,10592.37,18,Eligible,False,False,12,False,False,1906.63,1111.28,Low
RISK000036,input_services,81579.6,18,Eligible,True,False,116,True,False,14684.33,6640.02,Medium
RISK000037,motor_vehicle,53408.01,28,Blocked,False,False,0,True,False,14954.24,0.0,Low
